iter	Logloss
464	0.2187179193
465	0.2183153109
466	0.2180231424
467	0.2176815406
468	0.2176471796
469	0.2171510682
470	0.2168700713
471	0.2162938799
472	0.216108738
473	0.2160062575
474	0.2154895238
475	0.2152745096
476	0.2150423007
477	0.214901917
478	0.2146216945
479	0.2143895572
480	0.2141932294
481	0.2136810417
482	0.2131681657
483	0.2131384369
484	0.2128154497
485	0.2124435023
486	0.2119566552
487	0.2116659064
488	0.2113945896
489	0.211158609
490	0.2106977764
491	0.2102486603
492	0.2099730413
493	0.2097410761
494	0.2093476317
495	0.2089170298
496	0.2086427732
497	0.2081457009
498	0.2079379433
499	0.2077147692
