iter	Logloss
0	0.6858701778
1	0.6792482075
2	0.6709936615
3	0.6649574911
4	0.6603442314
5	0.6560306406
6	0.6504845297
7	0.6476749621
8	0.6425266122
9	0.6383262003
10	0.6346139549
11	0.6323150405
12	0.627839741
13	0.6233753405
14	0.6215235201
15	0.6199127427
16	0.6175916858
17	0.6146757656
18	0.6123158161
19	0.6103297069
20	0.6087093497
21	0.6065111662
22	0.6045144447
23	0.601365283
24	0.5978592034
25	0.5962841063
26	0.5951662566
27	0.5921005593
28	0.5902999648
29	0.5888637457
30	0.5872047252
31	0.5845753376
32	0.5824574635
33	0.5795244489
34	0.5773808759
35	0.5751767266
36	0.5733199729
37	0.5709583024
38	0.5678638085
39	0.5661111129
40	0.565108794
41	0.5618730703
42	0.5595371562
43	0.5582947695
44	0.5566852541
45	0.5538930104
46	0.5524686656
47	0.550751134
48	0.548463635
49	0.5459405999
50	0.5440214917
51	0.5401820133
52	0.5394694393
53	0.5376139476
54	0.5363848693
55	0.5343166724
56	0.5323850015
57	0.5310145787
58	0.5292130664
59	0.5270359355
60	0.5256648243
61	0.524082442
62	0.522999068
63	0.5214519071
64	0.5200927275
65	0.5184619301
66	0.5179599389
67	0.5165992679
68	0.5156747345
69	0.5144786404
70	0.5128000589
71	0.51128049
72	0.5106775958
73	0.5092461378
74	0.5076436208
75	0.5050912728
76	0.5042347155
77	0.5025697866
78	0.502033205
79	0.5001646343
80	0.4999760793
81	0.4985430725
82	0.4972957525
83	0.495435557
84	0.4933807258
85	0.491969632
86	0.4911804773
87	0.4896725533
88	0.4889032464
89	0.4875538761
90	0.4851927793
91	0.4836234186
92	0.4827028432
93	0.4818709524
94	0.4809373268
95	0.4801418907
96	0.4787845181
97	0.477613951
98	0.4763976076
99	0.4751789409
100	0.4745676715
101	0.4736408148
102	0.4724832119
103	0.4716967819
104	0.4707829181
105	0.4691084955
106	0.4681453275
107	0.4662350533
108	0.4648522972
109	0.4632449903
110	0.4617121417
111	0.4609266582
112	0.4597317115
113	0.458865976
114	0.4579214512
115	0.4569803109
116	0.4558524225
117	0.4549901575
118	0.4538655389
119	0.4529406899
120	0.451788766
121	0.4505213687
122	0.4493193089
123	0.4479902167
124	0.447287538
125	0.4464761834
126	0.445674466
127	0.4447132483
128	0.4438320246
129	0.4428773177
130	0.4421207743
131	0.4413818704
132	0.4405799235
133	0.4390481935
134	0.4381842936
135	0.43678103
136	0.4353261962
137	0.4336017809
138	0.4330625893
139	0.4315528009
140	0.4307500223
141	0.4299865092
142	0.4294211882
143	0.4280506794
144	0.4273869794
145	0.4262448074
146	0.4252391614
147	0.4243100389
148	0.4235320127
149	0.4226930088
150	0.4210805678
151	0.4191398907
152	0.4183649049
153	0.4177550409
154	0.4170021401
155	0.416330065
156	0.4156200438
157	0.414187123
158	0.4131332053
159	0.4120818117
160	0.409627728
161	0.4089451553
162	0.4076484451
163	0.406867522
164	0.4055666816
165	0.4046728952
166	0.4038094255
167	0.4026102625
168	0.4014430225
169	0.4001743345
170	0.3991543763
171	0.3983784726
172	0.3980240499
173	0.3972970489
174	0.3960642133
175	0.3951175374
176	0.3944914395
177	0.3938206838
178	0.3926333377
179	0.391421526
180	0.3906022265
181	0.3896659622
182	0.3889325938
183	0.387516452
184	0.3867764294
185	0.3856625665
186	0.3846943504
187	0.3836494962
188	0.3824038685
189	0.3818127912
190	0.3810404727
191	0.3795088861
192	0.3786373855
193	0.3775906097
194	0.3767220347
195	0.3759139785
196	0.3748944505
197	0.3735536274
198	0.37217199
199	0.3716032272
200	0.3707338204
201	0.3702942124
202	0.3690338995
203	0.3676505985
204	0.3667895668
205	0.3659398932
206	0.3653012326
207	0.3639740908
208	0.3629537597
209	0.3622179533
210	0.3611456505
211	0.3599397473
212	0.3586662407
213	0.3578944672
214	0.3566443364
215	0.3557719467
216	0.3550786183
217	0.3542197378
218	0.3531013718
219	0.3517026973
220	0.3512112037
221	0.3507060001
222	0.3495581491
223	0.3486604619
224	0.3475793824
225	0.3462238742
226	0.3455881678
227	0.3446786063
228	0.3441092125
229	0.3428192712
230	0.3411139295
231	0.3406219482
232	0.3394136357
233	0.3383764683
234	0.3370763449
235	0.3362664818
236	0.3355146136
237	0.3344935941
238	0.3333780963
239	0.3326654076
240	0.3318954124
241	0.3311436015
242	0.3306634659
243	0.3299301549
244	0.329087451
245	0.3281904522
246	0.327505757
247	0.3268460725
248	0.3260294405
249	0.3248928328
250	0.3239546754
251	0.3230974585
252	0.322094738
253	0.3216028429
254	0.3209201555
255	0.3204187379
256	0.3200163877
257	0.3193380886
258	0.3188529337
259	0.3183121072
260	0.3175760714
261	0.3165478814
262	0.314885247
263	0.3141857807
264	0.3134582347
265	0.3129380305
266	0.3120825631
267	0.3116726983
268	0.3109728591
269	0.3100589953
270	0.3096810534
271	0.3091923993
272	0.3086351667
273	0.3076997628
274	0.3072403069
275	0.3064914216
276	0.3056653245
277	0.3048354127
278	0.3043515198
279	0.3037341125
280	0.3030522856
281	0.3021969903
282	0.3017632334
283	0.3007207885
284	0.3002206329
285	0.2992260295
286	0.2987438575
287	0.2983856201
288	0.2975437193
289	0.2968084005
290	0.2960286535
291	0.2953762542
292	0.2945625477
293	0.2940957779
294	0.2935864155
295	0.2929739127
296	0.2924535651
297	0.2918740179
298	0.2911629354
299	0.2905477079
300	0.2901100503
301	0.2895461348
302	0.2882742631
303	0.2872886371
304	0.2866062652
305	0.2857133105
306	0.2851008939
307	0.2842740511
308	0.2835769653
309	0.282943955
310	0.2821043775
311	0.2814664052
312	0.2808243027
313	0.280395852
314	0.2799220264
315	0.2791337322
316	0.2787908396
317	0.2780863253
318	0.2777587489
319	0.2773827861
320	0.2770940451
321	0.2766809679
322	0.2763827331
323	0.27575827
324	0.2752225202
325	0.2747591922
326	0.2740492283
327	0.2736670128
328	0.2732479985
329	0.2724846861
330	0.2720377069
331	0.2717046809
332	0.2712780372
333	0.2708249773
334	0.2702827167
335	0.2695638327
336	0.2689221891
337	0.2682291762
338	0.2675906877
339	0.2672653198
340	0.2668200615
341	0.2661931604
342	0.2657329014
343	0.2651601519
344	0.264568587
345	0.2641129458
346	0.2636974593
347	0.2631662985
348	0.2626174124
349	0.2621866097
350	0.2618596357
351	0.2612328494
352	0.2607716438
353	0.2598373585
354	0.2594270348
355	0.2590980817
356	0.258675941
357	0.2580260657
358	0.2575357193
359	0.257263241
360	0.2565862326
361	0.2558386093
362	0.2556444326
363	0.2552161539
364	0.254769863
365	0.2543153691
366	0.2539143957
367	0.2535204206
368	0.2531064829
369	0.2527557316
370	0.252402743
371	0.2520655008
372	0.2516965651
373	0.2508018035
374	0.2500597732
375	0.2497178845
376	0.2493684525
377	0.2487850046
378	0.2484887776
379	0.2478157273
380	0.2471042432
381	0.2465951676
382	0.246427493
383	0.2457491652
384	0.2451059442
385	0.2446850081
386	0.2441150694
387	0.2437245935
388	0.2435325106
389	0.2434364261
390	0.242838752
391	0.242574534
392	0.2422462406
393	0.2416489967
394	0.2413427884
395	0.2410863145
396	0.2405589111
397	0.2403647487
398	0.2400006316
399	0.23966947
400	0.2393663163
401	0.239023223
402	0.2388871989
403	0.2383454832
404	0.2381274288
405	0.237689427
406	0.2374604304
407	0.2373185552
408	0.2370563593
409	0.2364472698
410	0.2364093809
411	0.2360177004
412	0.2357807303
413	0.2353647418
414	0.2350303535
415	0.2347143646
416	0.2344002258
417	0.2338986504
418	0.2336272333
419	0.2331642638
420	0.2323064302
421	0.2318936972
422	0.2315061612
423	0.2312616047
424	0.2310103366
425	0.2309499181
426	0.230654695
427	0.2301817729
428	0.2299335738
429	0.2296992711
430	0.2293926755
431	0.2289851626
432	0.2286788539
433	0.2282013857
434	0.2279269857
435	0.2275462043
436	0.2274441253
437	0.2270209664
438	0.2265838394
439	0.2261615983
440	0.2259995023
441	0.2256275837
442	0.2253311559
443	0.2250890804
444	0.224654463
445	0.2238864182
446	0.2235377749
447	0.2231001746
448	0.2230445747
449	0.2227428408
450	0.2226678662
451	0.2226370905
452	0.2223071335
453	0.2219777502
454	0.2216096175
455	0.2213025631
456	0.220913464
457	0.2204833927
458	0.2200313367
459	0.2197563057
460	0.2195074038
461	0.2192816053
462	0.2192146187
463	0.2189365186
